,ano,nome_entidade,data_ano_letivo_inicio,data_ano_letivo_termino
0,2017,INSTITUTO ANNA CAROLINA,,
1,2017,ESCOLA VILA SEZAMO,2017-02-01T00:00:00,2017-12-29T00:00:00
2,2017,ANNAIC DE MENDONCA TRAVASSOS - ME,2017-01-30T00:00:00,2017-12-30T00:00:00
3,2017,ESCOLA CAMINHO DO SABER,,
4,2017,EDUCANDARIO GOVERNADOR DOUTOR JARBAS DE ANDRADE VASCONCELOS,,
5,2017,CENTRO DE EDUCACAO PROFISSIONAL MAURICIO DE NASSAU,2017-01-16T00:00:00,2017-12-29T00:00:00
6,2017,CONS DO CLUBE DE MAES ORFAOS E VELHOS DES DE AREIA,,
7,2017,SOCIEDADE EDUCACIONAL SABER VENCER,,
8,2017,ESCOLA MUNICIPAL IBURA DE BAIXO,2017-02-03T00:00:00,2017-12-22T00:00:00
9,2017,CENTRO ESPIRITA DE UMBANDA MESTRE CIBAMBA,,
10,2017,ESCOLA BRINCANDO E CONSTRUINDO,,
11,2017,SEMINARIO DE EDUCACAO CRISTA,,
12,2017,EDUCANDARIO GENTE MIUDA,2017-02-01T00:00:00,2017-12-27T00:00:00
13,2017,ESCOLA LUIZ PESSOA,,
14,2017,INSTITUTO MARIA GORETTI,,
15,2017,COLEGIO NUCLEO,2017-02-02T00:00:00,2017-12-22T00:00:00
16,2017,CLUBE DE MAES VILA DOS MOTORISTA E ZENAIDE,,
17,2017,UPE-FACUL DE ENFERMAGEM N SRA DAS GRACAS,,
18,2017,CENTRO COMUNITARIO DO CORREGO DO JOAQUIM,,
19,2017,ESCOLA NOSSA SENHORA DE GUADALUPE,2017-02-01T00:00:00,2017-12-28T00:00:00
20,2017,CLUBE DE MAES CORACAO MATERNO,,
21,2017,ESCOLA COMUNITARIA NOVO ALVORECER II,,
22,2017,CENTRO DE ARTE TRABALHO E EDUCACAO,,
23,2017,ESCOLA COMUNITARIA MENINO JESUS,,
24,2017,GRUPO DE MULHERES DO ALTO DA BELA VISTA,,
25,2017,INSTITUTO AUXILIADORA,,
26,2017,COLEGIO FAZER CRESCER LTDA,2017-02-01T00:00:00,2017-12-29T00:00:00
27,2017,ESCOLA VILA SESAMO,,
28,2017,INSTITUTO PAIS E FILHOS,,
29,2017,ESCOLA CLUBE DE MAES DO CAPILE,,
30,2017,ESCOLA DE REFERENCIA EM ENSINO MEDIO NOBREGA,2017-02-02T00:00:00,2017-12-22T00:00:00
31,2017,ASSOC EVANGELICA LUTERANA DE EDUCACAO ESPECIAL,,
32,2017,SOC BENEF DE PROM DA MULHER E DA CRIANCA,,
33,2017,CENT EDUC COMUN ESPERANCA DOS COELHOS,,
