,nome,tipo,endereco,lei,nome_oficial,area,latitude,longitude
0,,Area Verde,Avenida Governador Agamenon Magalhaes,,,"3243,735391",-8.038875265,-34.87617362
1,Dr Jose Vilela,Praça,Avenida Dezessete De Agosto/ Rua Dr Jose Vilela/ Rua Jose De Godoy Vasconcelos,00448/49,Praça Dr José Vilela,"3042,858638",-8.034090657,-34.91157119
2,Dr Lula Cabral De Melo,Praça,Avenida Dezessete De Agosto/ Avenida Parnamirim/ Rua Padre Roma,12917/77,Praça Dr Lula Cabral de Melo,"1893,010563",-8.033198405,-34.91029444
3,Jornalista Francisco Pessoa De Queiroz Júnior,Praça,Rua Nestor Silva/ Rua Leonardo Bezerra Cavalcante,14265/81,Praça Jornalista Francisco Pessoa de Queiroz,"722,7935899",-8.037484858,-34.91386712
4,Rádio Jornal Do Comercio,Praça,Avenida Dezesste De Agosto/ Rua Leonardo Bezerra Cavalcante,00453/46,Praça Rádio Jornal do Comércio,"2724,390231",-8.036970992,-34.913944
5,Rádio Jornal Do Comércio,Praça,Avenida Dezesste De Agosto/ Rua Leonardo Bezerra Cavalcante,00453/46,Praça Rádio Jornal do Comércio,"611,9990994",-8.03708098,-34.91429516
6,Osvaldo Cruz,Praça,Rua Joao Fernandes Vieira/ Rua Osvaldo Cruz,,Praça Oswaldo Cruz,"3644,799287",-8.055074228,-34.89156634
7,,Area Verde,Avenida Governador Agamenon Magalhaes/ Rua Dr Jaime Da Fonte,,,"234,3165586",-8.039951285,-34.87859053
8,Flôr De Santana,Praça,Avenida Dezessete De Agosto/Rua Dona Olegarinha Da Cunha/ Rua De Santana,,Praça Flor de Santana,"790,7132127",-8.038112654,-34.91806848
9,Da Vila Teimosinho,Praça,Rua Das Saudades/Rua Do Girassol,07930/62,Praça da Vila Teimosinho,"344,9842595",-8.085811115,-34.88401847
10,Da Restauraçao/ Do Pirulito,Praça,Rua Padre Floriano/ Rua Do Jardim,,Praça da Restauração,"88,22923397",-8.069986929,-34.8802037
11,Do Monteiro,Praça,Avenida Dezessete De Agosto,,Praca do Monteiro,"668,8804646",-8.027913492,-34.92798922
12,Sérgio Loreto,Praça,Rua Imperial,01395/24,Praça Sérgio Loreto,"4560,931602",-8.072488891,-34.8853334
13,Das Cinco Pontas,Praça,Rua Vidal De Negreiros/Rua Imperial,01737/29,Praça das Cinco Pontas,"157,3078383",-8.071880743,-34.88214292
14,Das Cinco Pontas,Praça,Rua Vidal De Negreiros,01737/29,Praça das Cinco Pontas,"878,2432253",-8.071573012,-34.88188765
15,Dezessete,Praça,Rua Imperador Pedro Ii,,Praça Dezessete,"816,9992761",-8.065308057,-34.87691259
16,Das Cinco Pontas,Praça,Rua Vidal De Negreiros,01737/29,Praça das Cinco Pontas,"1463,617695",-8.071007482,-34.88144625
17,Dom Vital,Praça,Rua Das Calcadas,00318/42,Praça Dom Vital,"1096,675348",-8.068186779,-34.87835072
18,Joaquim Nabuco,Praça,Rua Frei Caneca/ Cais Da Detencao,5483/59,Praça Joaquim Nabuco,"1826,451645",-8.064545759,-34.88125311
19,Dezessete,Praça,Rua Imperador Pedro Ii / Avenida Martins De Barros,,Praça Dezessete,"1151,809795",-8.065251334,-34.87653876
20,Da Comunidade Luso - Brasileira,Praça,Cais Do Apolo/Avenida Militar,10003/68,Praça da Comunidade Luso Brasileira,"1902,98919",-8.053736449,-34.87103187
21,Da Independência/ Diário De Pernambuco,Praça,Avenida Dantas Barreto/Rua Primeiro De Março,11463/74,Praça da Independência,"2168,67139",-8.064166299,-34.87815957
22,Chora Menino,Praça,Rua Paissandu/ Avenida Lins Petit,,Praça Chora menino,"2372,239044",-8.060289347,-34.89488865
23,Rio Branco ( Marco Zero),Praça,Avenida Alfredo Lisboa,00192/39,Praça Rio Branco,"5468,326667",-8.063157342,-34.87109061
24,Tiradentes,Praça,Cais Do Apolo/Rua Bione,07930/62,Travessa Tiradentes,"5076,945565",-8.058698428,-34.87207801
25,,Area Verde,Rua Dr Jaime Da Fonte/Avenida Governador Agamenon Magalhaes,,,"485,0326105",-8.040064717,-34.87845583
26,General Carlos Pinto/ Largo Dos Casados,Praça,Rua Arlindo Melo/ Avenida Cruz Cabuga/ Rua Dos Casados,00178/48,Praca General Carlos Pinto,"3250,886457",-8.040097305,-34.87190978
27,Do Rosario,Praça,Rua Francisco Lacerda,,Praça do Rosário,"251,073068",-8.050490532,-34.95836889
28,Maciel Pinheiro,Praça,Rua Do Hospicio / Rua Do Aragao,00027/46,Praça Maciel Pinheiro,"1343,102546",-8.062376317,-34.88573807
29,Parque Amorim,Praça,Rua Joao Fernandes Vieira/Avenida Agamenon Magalhaes,,Praça Parque Amorim,"1647,876963",-8.052047649,-34.89498176
30,,Area Verde,Avenida Norte Miguel Arraes De Alencar/Avenida Governador Miguel Arraes De Alencar,,,"83,38378095",-8.042891848,-34.88461108
31,San Martin,Praça,Avenida General San Martin,,Praça da Avenida General San Martin,"3062,605426",-8.071011847,-34.92879124
32,,Area Verde,Rua Nova Europa/ Rua Pedro Boulitreau/Trv Pedro Boulitreau/Rua Farroupilha,,,"1935,777252",-8.075195066,-34.93140072
33,,Area Verde,Avenida Agamenon Magalhaes,,,"739,6589317",-8.040140979,-34.87885013
34,Profeta Joseph Smith/ Da Santa,Praça,Avenida Engenheiro Domingos Ferreira,14706/85,Praça Profeta Joseph Smith,"5938,539789",-8.096888965,-34.88604569
35,Miguel De Cervantes,Praça,Rua Francisco Alves,3.340/55,Praça Miguel de Cervantes,"1037,065806",-8.067558726,-34.89395077
36,Miguel De Cervantes,Praça,Rua Estado De Israel/Rua Capitao Jose  Da Luz,3.340/55,Praça Miguel de Cervantes,"872,9275081",-8.066101465,-34.89327839
37,Miguel De Cervantes,Praça,Rua Francisco Alves/Rua Jose De Alencar /Ruaantonio Gomes De Freitas,3.340/55,Praça Miguel de Cervantes,"2104,794269",-8.066768098,-34.89357782
38,Dom Jose Pereira Alves,Praça,Rua Manoel Elias/Rua Des Manoel De Sa Pereira/Rua Dom Jose Pereira Alves,,Praça Dom José Pereira Alves,"695,7855432",-8.049211071,-34.92536237
39,Dom Diogo Camarão,Praça,Rua Capitao Francisco Barreiras/Rua Capitao Manuel De Araujo Miranda,10074/69,Praça Dom Diogo Camarao,"928,0450268",-8.060342319,-34.92881848
40,Pantanal,Praca,Rua Capitao Gregorio De Albuquerque/Praca Pantanal/Rua Capitao Domingos Da Costa,,Praça Pantanal,"684,8925334",-8.094827242,-34.93383621
41,Da Bandeira,Praça,Avenida Sport Clube Do Recife/ Rua Benfica/ Rua Chico Science,02206/39,Praça da Bandeira,"2344,640792",-8.061391901,-34.90159021
