,ANO,ID,UNIDADE DE ENSINO,CARGO,TIPO DE FUNÇÃO,QUANTIDADE
0,2024,1,27 DE NOVEMBRO,PROFESSOR 1,,2
1,2024,2,27 DE NOVEMBRO,PROFESSOR 1,Apoio Pedagógico Diurno,1
2,2024,3,27 DE NOVEMBRO,PROFESSOR 1,Coordenador pedagógico,1
3,2024,4,27 DE NOVEMBRO,PROFESSOR 1,Diretor,1
4,2024,5,27 DE NOVEMBRO,PROFESSOR 1,em sala de aula,9
5,2024,6,27 DE NOVEMBRO,PROFESSOR 1,Vice-diretor,1
6,2024,7,ABILIO GOMES,PROFESSOR 1,Apoio Pedagógico Noturno,1
7,2024,8,ABILIO GOMES,PROFESSOR 1,Coordenador pedagógico,1
8,2024,9,ABILIO GOMES,PROFESSOR 1,Diretor,1
9,2024,10,ABILIO GOMES,PROFESSOR 1,em sala de aula,9
10,2024,11,ABILIO GOMES,PROFESSOR 1,Professor Readaptado,2
11,2024,12,ABILIO GOMES,PROFESSOR 1,Vice-diretor,1
12,2024,13,ALDA ROMEU,PROFESSOR 1,,4
13,2024,14,ALDA ROMEU,PROFESSOR 1,Assistente de direção,1
14,2024,15,ALDA ROMEU,PROFESSOR 1,Coordenador pedagógico,1
15,2024,16,ALDA ROMEU,PROFESSOR 1,Diretor,1
16,2024,17,ALDA ROMEU,PROFESSOR 1,em sala de aula,7
17,2024,18,ALDA ROMEU,PROFESSOR 1,Professor Readaptado,2
18,2024,19,ALDA ROMEU,PROFESSOR 1,Vice-diretor,1
19,2024,20,ALMIRANTE SOARES DUTRA,PROFESSOR 1,,1
20,2024,21,ALMIRANTE SOARES DUTRA,PROFESSOR 1,Assistente de direção,1
21,2024,22,ALMIRANTE SOARES DUTRA,PROFESSOR 1,Coordenador pedagógico,1
22,2024,23,ALMIRANTE SOARES DUTRA,PROFESSOR 1,Diretor,1
23,2024,24,ALMIRANTE SOARES DUTRA,PROFESSOR 1,em sala de aula,11
24,2024,25,ALMIRANTE SOARES DUTRA,PROFESSOR 1,Professor Readaptado,2
25,2024,26,ALTO DA BELA VISTA,PROFESSOR 1,,1
26,2024,27,ALTO DA BELA VISTA,PROFESSOR 1,Coordenador pedagógico,1
27,2024,28,ALTO DA BELA VISTA,PROFESSOR 1,Diretor,1
28,2024,29,ALTO DA BELA VISTA,PROFESSOR 1,em sala de aula,6
29,2024,30,ALTO DA BELA VISTA,PROFESSOR 1,Vice-diretor,1
30,2024,31,ALTO DA GUABIRABA,PROFESSOR 1,,1
31,2024,32,ALTO DA GUABIRABA,PROFESSOR 1,Apoio Pedagógico Noturno,1
32,2024,33,ALTO DA GUABIRABA,PROFESSOR 1,Coordenador pedagógico,2
33,2024,34,ALTO DA GUABIRABA,PROFESSOR 1,Diretor,1
34,2024,35,ALTO DA GUABIRABA,PROFESSOR 1,em sala de aula,11
35,2024,36,ALTO DA GUABIRABA,PROFESSOR 1,Professor Readaptado,1
36,2024,37,ALTO DA GUABIRABA,PROFESSOR 1,Vice-diretor,1
37,2024,38,ALTO DO MARACANA,PROFESSOR 1,,2
38,2024,39,ALTO DO MARACANA,PROFESSOR 1,Apoio Pedagógico Diurno,1
39,2024,40,ALTO DO MARACANA,PROFESSOR 1,Assistente de direção,1
40,2024,41,ALTO DO MARACANA,PROFESSOR 1,Coordenador pedagógico,1
41,2024,42,ALTO DO MARACANA,PROFESSOR 1,Diretor,1
42,2024,43,ALTO DO MARACANA,PROFESSOR 1,em sala de aula,9
43,2024,44,ALTO DO MARACANA,PROFESSOR 1,Vice-diretor,1
44,2024,45,ALTO DO PASCOAL,PROFESSOR 1,,4
45,2024,46,ALTO DO PASCOAL,PROFESSOR 1,Coordenador pedagógico,1
46,2024,47,ALTO DO PASCOAL,PROFESSOR 1,Diretor,1
47,2024,48,ALTO DO PASCOAL,PROFESSOR 1,em sala de aula,14
48,2024,49,ALTO DO PASCOAL,PROFESSOR 1,Professor Readaptado,1
49,2024,50,ALTO DO PASCOAL,PROFESSOR 1,Vice-diretor,1
50,2024,51,ALTO DO REFUGIO IVAN NEVES,PROFESSOR 1,,1
51,2024,52,ALTO DO REFUGIO IVAN NEVES,PROFESSOR 1,Coordenador pedagógico,1
52,2024,53,ALTO DO REFUGIO IVAN NEVES,PROFESSOR 1,Diretor,1
53,2024,54,ALTO DO REFUGIO IVAN NEVES,PROFESSOR 1,em sala de aula,9
54,2024,55,ALTO DO REFUGIO IVAN NEVES,PROFESSOR 1,Vice-diretor,1
55,2024,56,ALTO JARDIM PROGRESSO,PROFESSOR 1,Diretor,1
56,2024,57,ALTO JARDIM PROGRESSO,PROFESSOR 1,em sala de aula,9
57,2024,58,ALTO JARDIM PROGRESSO,PROFESSOR 1,Vice-diretor,1
58,2024,59,ALTO SANTA TEREZINHA,PROFESSOR 1,,5
59,2024,60,ALTO SANTA TEREZINHA,PROFESSOR 1,Apoio Pedagógico Diurno,1
60,2024,61,ALTO SANTA TEREZINHA,PROFESSOR 1,Coordenador pedagógico,1
61,2024,62,ALTO SANTA TEREZINHA,PROFESSOR 1,Diretor,1
62,2024,63,ALTO SANTA TEREZINHA,PROFESSOR 1,em sala de aula,14
63,2024,64,ALTO SANTA TEREZINHA,PROFESSOR 1,Outros,1
64,2024,65,ALTO SANTA TEREZINHA,PROFESSOR 1,Professor Readaptado,3
65,2024,66,ALTO SANTA TEREZINHA,PROFESSOR 1,Vice-diretor,1
66,2024,67,ANA MAURICIA WANDERLEY,PROFESSOR 1,,4
67,2024,68,ANA MAURICIA WANDERLEY,PROFESSOR 1,Coordenador pedagógico,1
