ID,INEP_ESCOLA,CÓDIGO_ESCOLA,NOME_ESCOLA,LATITUDE,LONGITUDE,CEP,ENDEREÇO,ENDEREÇO_NÚMERO,ENDEREÇO_COMPLEMENTO,BAIRRO_CÓDIGO,BAIRRO,TELEFONE,FAX,EMAIL
1,26121786,1,ESCOLA MUNICIPAL REITOR JOAO ALFREDO,-8064733,-34895485,50070460,SENADOR JOSE HENRIQUE,160,,78,ILHA DO LEITE,32325917.0,34237321.0,CMRJA@HOTMAIL.COM
2,26123550,2,ESCOLA MUNICIPAL DE TEJIPIO,-80864,-3496858,50930100,TUTOIA,165,,922,COQUEIRAL,32322523.0,32516769.0,
3,26127369,3,ESCOLA MUNICIPAL ARRAIAL NOVO DO BOM JESUS,-8058692,-34931913,50640000,DO FORTE,1340,,701,TORROES,32327513.0,,ESCOLAARRAIALNOVO@HOTMAIL.COM
4,26121255,4,ESCOLA MUNICIPAL PROFESSOR JOSE DA COSTA PORTO,-8071752,-34900463,50080180,CABO EUTROPIO,660,,43,ILHA JOANA BEZERRA,32322210.0,32322211.0,
5,26121077,5,ESCOLA MUNICIPAL SANTA MARIA,-8021894,-34908724,52210240,ACAIACA,70,,523,ALTO JOSE DO PINHO,32324240.0,,
6,26118734,6,ESCOLA MUNICIPAL MONTEIRO LOBATO,-8017867,-34874481,52125290,JARDIM BRASILIA,S/N,,299,PEIXINHOS,32327705.0,34274349.0,
7,26128640,7,ESCOLA MUNICIPAL ANTONIO HERACLIO DO REGO,-8019013,-34889153,52120520,MANOEL SILVA,134,,345,FUNDAO,32327811.0,34434365.0,EMANTONIOHERACLIO@YAHOO.COM.BR
8,26128390,9,ESCOLA MUNICIPAL PAULO VI,-8007536,-34904668,52131210,GUAIRA,200,,388,LINHA DO TIRO,32327828.0,34496123.0,ESCOLAPAULOSEXTO@HOTMAIL.COM
9,26124556,10,ESCOLA MUNICIPAL MARIA SAMPAIO LUCENA,-8120811,-34946711,51280000,PERNAMBUCO,S/N,UR  01,884,COHAB,32323114.0,34755258.0,
10,26126630,11,ESCOLA MUNICIPAL SAO CRISTOVAO,-7993272,-3493535,52291140,CASSITERITA,395,,612,BREJO DA GUABIRABA,32324148.0,,
11,26122529,12,ESCOLA MUNICIPAL MARIO MELO,-8028455,-34879574,52040250,OLIVEIRA FONSECA,318,,280,CAMPO GRANDE,32327702.0,32421049.0,ESCOLAMARIOMELO@YAHOO.COM.BR
12,26128934,13,ESCOLA MUNICIPAL OLINDINA MONTEIRO DE OLIVEIRA FRANCA,-8002758,-34906408,52140390,BELA VISTA,315,,396,DOIS UNIDOS,32327826.0,34495672.0,
13,26117576,14,ESCOLA MUNICIPAL ANTONIO FARIAS FILHO,-8072582,-34925968,50761350,21 DE ABRIL,S/N,,779,AFOGADOS,32327510.0,34456865.0,
14,26119927,15,ESCOLA MUNICIPAL LUIZ VAZ DE CAMOES,-8103714,-34925443,51320080,ERVAL,58,VL M LUCIA,213,IPSEP,32323308.0,34717548.0,LUISCAMOES@BOL.COM.BR
15,26124513,16,ESCOLA MUNICIPAL CICERO FRANKLIN CORDEIRO,-8136188,-34955184,51320410,FELIPE DOS SANTOS,81,UR  05,884,COHAB,32323106.0,34752756.0,
16,26126117,17,ESCOLA MUNICIPAL PROFESSORA ALMERINDA UMBELINO DE BARROS,-8021198,-34922706,52081030,VASCO DA GAMA,S/N,,558,VASCO DA GAMA,32324152.0,34419262.0,ESCOLAVASCODAGAMA@HOTMAIL.COM
17,26127520,18,ESCOLA MUNICIPAL DIVINO ESPIRITO SANTO,-803042,-34954399,50800210,CAXANGA,127,,744,CAXANGA,32324736.0,,
18,26119218,19,ESCOLA MUNICIPAL DA IPUTINGA,-8041487,-34928129,50731110,CORONEL FERNANDO FURTADO,479,IPUTINGA,680,CORDEIRO,32327501.0,32276176.0,
19,26119897,20,ESCOLA MUNICIPAL JOAO XXIII,-8041517,-34930712,50731360,DO CAIARA,350,,698,IPUTINGA,32324707.0,32722007.0,
20,26126516,21,ESCOLA MUNICIPAL PROFESSOR ADERBAL GALVAO,-8016538,-34921181,52081030,VASCO DA GAMA,399,,558,VASCO DA GAMA,32324100.0,34418566.0,
21,26126788,22,ESCOLA MUNICIPAL PROFESSOR MAURO MOTA,-8000192,-34931072,52091260,ALTO DA BRASILEIRA,S/N,,566,NOVA DESCOBERTA,32324133.0,34427294.0,
22,26125692,23,ESCOLA MUNICIPAL SOCIOLOGO GILBERTO FREIRE,-8010791,-34952445,52071560,PROFESSOR CLAUDIO SELVA,350,,590,DOIS IRMAOS,32324110.0,32698203.0,
23,26120810,24,ESCOLA MUNICIPAL HUGO GERDAU,-8069673,-34936414,50761190,CORONEL MIZAEL DE MENDONCA,S/N,,817,SAN MARTIN,32327508.0,34452106.0,
24,26119196,25,ESCOLA MUNICIPAL TRES CARNEIROS,-8125531,-34959914,51330190,IBIRAJA,12,IBURA,884,COHAB,32323122.0,,
25,26124700,26,ESCOLA MUNICIPAL MARGARIDA SERPA COSSART,-8119865,-34955853,51340610,MECEJANA,9,,884,COHAB,32323123.0,34752759.0,
