ID,ANO,CÓDIGO ENTIDADE,NOME ENTIDADE,CÓDIGO ORGÃO REGIONAL,TP_SITUACAO_FUNCIONAMENTO,DT_ANO_LETIVO_INICIO,DT_ANO_LETIVO_TERMINO,CO_REGIAO,CO_MESORREGIAO,CO_MICRORREGIAO,CO_UF,CO_MUNICIPIO,CO_DISTRITO,TP_DEPENDENCIA
1,2017,26121174,INSTITUTO ANNA CAROLINA,2.0,2,,,2,2605,26017,26,2611606,261160605,4
2,2017,26140870,ESCOLA VILA SEZAMO,1.0,1,2017-02-01T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
3,2017,26139588,ANNAIC DE MENDONCA TRAVASSOS - ME,2.0,1,2017-01-30T00:00:00,2017-12-30T00:00:00,2,2605,26017,26,2611606,261160605,4
4,2017,26516713,ESCOLA CAMINHO DO SABER,2.0,2,,,2,2605,26017,26,2611606,261160605,4
5,2017,26171996,EDUCANDARIO GOVERNADOR DOUTOR JARBAS DE ANDRADE VASCONCELOS,2.0,2,,,2,2605,26017,26,2611606,261160605,4
6,2017,26182874,CENTRO DE EDUCACAO PROFISSIONAL MAURICIO DE NASSAU,1.0,1,2017-01-16T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
7,2017,26162261,CONS DO CLUBE DE MAES ORFAOS E VELHOS DES DE AREIA,2.0,2,,,2,2605,26017,26,2611606,261160605,4
8,2017,26173379,SOCIEDADE EDUCACIONAL SABER VENCER,2.0,2,,,2,2605,26017,26,2611606,261160605,4
9,2017,26168227,ESCOLA MUNICIPAL IBURA DE BAIXO,2.0,1,2017-02-03T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,3
10,2017,26163209,CENTRO ESPIRITA DE UMBANDA MESTRE CIBAMBA,2.0,2,,,2,2605,26017,26,2611606,261160605,4
11,2017,26134160,ESCOLA BRINCANDO E CONSTRUINDO,2.0,2,,,2,2605,26017,26,2611606,261160605,4
12,2017,26167131,SEMINARIO DE EDUCACAO CRISTA,1.0,2,,,2,2605,26017,26,2611606,261160605,4
13,2017,26159856,EDUCANDARIO GENTE MIUDA,1.0,1,2017-02-01T00:00:00,2017-12-27T00:00:00,2,2605,26017,26,2611606,261160605,4
14,2017,26128225,ESCOLA LUIZ PESSOA,1.0,2,,,2,2605,26017,26,2611606,261160605,4
15,2017,26120941,INSTITUTO MARIA GORETTI,2.0,2,,,2,2605,26017,26,2611606,261160605,4
16,2017,26137631,COLEGIO NUCLEO,1.0,1,2017-02-02T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,4
17,2017,26160056,CLUBE DE MAES VILA DOS MOTORISTA E ZENAIDE,2.0,2,,,2,2605,26017,26,2611606,261160605,4
18,2017,26157977,UPE-FACUL DE ENFERMAGEM N SRA DAS GRACAS,1.0,2,,,2,2605,26017,26,2611606,261160605,2
19,2017,26163799,CENTRO COMUNITARIO DO CORREGO DO JOAQUIM,1.0,3,,,2,2605,26017,26,2611606,261160605,4
20,2017,26155834,ESCOLA NOSSA SENHORA DE GUADALUPE,1.0,1,2017-02-01T00:00:00,2017-12-28T00:00:00,2,2605,26017,26,2611606,261160605,4
21,2017,26165147,CLUBE DE MAES CORACAO MATERNO,2.0,2,,,2,2605,26017,26,2611606,261160605,4
22,2017,26175924,ESCOLA COMUNITARIA NOVO ALVORECER II,1.0,3,,,2,2605,26017,26,2611606,261160605,4
23,2017,26170353,CENTRO DE ARTE TRABALHO E EDUCACAO,2.0,2,,,2,2605,26017,26,2611606,261160605,4
24,2017,26163764,ESCOLA COMUNITARIA MENINO JESUS,1.0,3,,,2,2605,26017,26,2611606,261160605,4
25,2017,26170361,GRUPO DE MULHERES DO ALTO DA BELA VISTA,2.0,2,,,2,2605,26017,26,2611606,261160605,4
26,2017,26501732,INSTITUTO AUXILIADORA,2.0,2,,,2,2605,26017,26,2611606,261160605,4
27,2017,26148773,COLEGIO FAZER CRESCER LTDA,1.0,1,2017-02-01T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
28,2017,26123959,ESCOLA VILA SESAMO,2.0,2,,,2,2605,26017,26,2611606,261160605,4
29,2017,26127946,INSTITUTO PAIS E FILHOS,2.0,2,,,2,2605,26017,26,2611606,261160605,4
30,2017,26156768,ESCOLA CLUBE DE MAES DO CAPILE,1.0,3,,,2,2605,26017,26,2611606,261160605,4
31,2017,26179610,ESCOLA DE REFERENCIA EM ENSINO MEDIO NOBREGA,1.0,1,2017-02-02T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,2
32,2017,26137060,ASSOC EVANGELICA LUTERANA DE EDUCACAO ESPECIAL,1.0,3,,,2,2605,26017,26,2611606,261160605,4
33,2017,26149346,SOC BENEF DE PROM DA MULHER E DA CRIANCA,1.0,3,,,2,2605,26017,26,2611606,261160605,4
34,2017,26164299,CENT EDUC COMUN ESPERANCA DOS COELHOS,1.0,3,,,2,2605,26017,26,2611606,261160605,4
35,2017,26122359,INSTITUTO PROFIS MARIA AUXILIADORA,1.0,1,2017-02-02T00:00:00,2017-12-30T00:00:00,2,2605,26017,26,2611606,261160605,4
36,2017,26157403,CASA DO PROFESSOR POTIGUAR MATOS,1.0,3,,,2,2605,26017,26,2611606,261160605,4
37,2017,26139421,INSTITUTO SANTO AGOSTINHO,1.0,2,,,2,2605,26017,26,2611606,261160605,4
38,2017,26161982,ASSOCIACAO DE ACAO COMUNITARIA DE BRASILIA TEIMOSA,2.0,2,,,2,2605,26017,26,2611606,261160605,4
39,2017,26120151,ESCOLA SAGRADO CORACAO,2.0,1,2017-01-30T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
40,2017,26120623,GRUPO DE ATENDIMENTO PSICO PEDAGOGICO,2.0,2,,,2,2605,26017,26,2611606,261160605,4
41,2017,26175959,GETEC - CENTRO DE GESTAO TECNICA E PERNAMBUCO LTDA,1.0,2,,,2,2605,26017,26,2611606,261160605,4
42,2017,26162016,COLEGIO PONTUAL CENTRO EDUCACIONAL LTDA,2.0,1,2017-02-01T00:00:00,2017-12-27T00:00:00,2,2605,26017,26,2611606,261160605,4
43,2017,26175525,CENTRO DE EDUCACAO PROFISSIONAL JOAQUIM NABUCO UNIDADE II-RECIFE,1.0,1,2017-01-16T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
44,2017,26179075,CLUBE DE MAES AMOR MATERNO,2.0,2,,,2,2605,26017,26,2611606,261160605,4
