,inep_escola,nome_escola,latitude,longitude,cep,endereco,bairro,telefone,email
0,26121786,ESCOLA MUNICIPAL REITOR JOAO ALFREDO,-8064733,-34895485,50070460,SENADOR JOSE HENRIQUE,ILHA DO LEITE,32325917.0,CMRJA@HOTMAIL.COM
1,26123550,ESCOLA MUNICIPAL DE TEJIPIO,-80864,-3496858,50930100,TUTOIA,COQUEIRAL,32322523.0,
2,26127369,ESCOLA MUNICIPAL ARRAIAL NOVO DO BOM JESUS,-8058692,-34931913,50640000,DO FORTE,TORROES,32327513.0,ESCOLAARRAIALNOVO@HOTMAIL.COM
3,26121255,ESCOLA MUNICIPAL PROFESSOR JOSE DA COSTA PORTO,-8071752,-34900463,50080180,CABO EUTROPIO,ILHA JOANA BEZERRA,32322210.0,
4,26121077,ESCOLA MUNICIPAL SANTA MARIA,-8021894,-34908724,52210240,ACAIACA,ALTO JOSE DO PINHO,32324240.0,
5,26118734,ESCOLA MUNICIPAL MONTEIRO LOBATO,-8017867,-34874481,52125290,JARDIM BRASILIA,PEIXINHOS,32327705.0,
6,26128640,ESCOLA MUNICIPAL ANTONIO HERACLIO DO REGO,-8019013,-34889153,52120520,MANOEL SILVA,FUNDAO,32327811.0,EMANTONIOHERACLIO@YAHOO.COM.BR
7,26128390,ESCOLA MUNICIPAL PAULO VI,-8007536,-34904668,52131210,GUAIRA,LINHA DO TIRO,32327828.0,ESCOLAPAULOSEXTO@HOTMAIL.COM
8,26124556,ESCOLA MUNICIPAL MARIA SAMPAIO LUCENA,-8120811,-34946711,51280000,PERNAMBUCO,COHAB,32323114.0,
9,26126630,ESCOLA MUNICIPAL SAO CRISTOVAO,-7993272,-3493535,52291140,CASSITERITA,BREJO DA GUABIRABA,32324148.0,
10,26122529,ESCOLA MUNICIPAL MARIO MELO,-8028455,-34879574,52040250,OLIVEIRA FONSECA,CAMPO GRANDE,32327702.0,ESCOLAMARIOMELO@YAHOO.COM.BR
11,26128934,ESCOLA MUNICIPAL OLINDINA MONTEIRO DE OLIVEIRA FRANCA,-8002758,-34906408,52140390,BELA VISTA,DOIS UNIDOS,32327826.0,
12,26117576,ESCOLA MUNICIPAL ANTONIO FARIAS FILHO,-8072582,-34925968,50761350,21 DE ABRIL,AFOGADOS,32327510.0,
13,26119927,ESCOLA MUNICIPAL LUIZ VAZ DE CAMOES,-8103714,-34925443,51320080,ERVAL,IPSEP,32323308.0,LUISCAMOES@BOL.COM.BR
14,26124513,ESCOLA MUNICIPAL CICERO FRANKLIN CORDEIRO,-8136188,-34955184,51320410,FELIPE DOS SANTOS,COHAB,32323106.0,
15,26126117,ESCOLA MUNICIPAL PROFESSORA ALMERINDA UMBELINO DE BARROS,-8021198,-34922706,52081030,VASCO DA GAMA,VASCO DA GAMA,32324152.0,ESCOLAVASCODAGAMA@HOTMAIL.COM
16,26127520,ESCOLA MUNICIPAL DIVINO ESPIRITO SANTO,-803042,-34954399,50800210,CAXANGA,CAXANGA,32324736.0,
17,26119218,ESCOLA MUNICIPAL DA IPUTINGA,-8041487,-34928129,50731110,CORONEL FERNANDO FURTADO,CORDEIRO,32327501.0,
18,26119897,ESCOLA MUNICIPAL JOAO XXIII,-8041517,-34930712,50731360,DO CAIARA,IPUTINGA,32324707.0,
19,26126516,ESCOLA MUNICIPAL PROFESSOR ADERBAL GALVAO,-8016538,-34921181,52081030,VASCO DA GAMA,VASCO DA GAMA,32324100.0,
20,26126788,ESCOLA MUNICIPAL PROFESSOR MAURO MOTA,-8000192,-34931072,52091260,ALTO DA BRASILEIRA,NOVA DESCOBERTA,32324133.0,
21,26125692,ESCOLA MUNICIPAL SOCIOLOGO GILBERTO FREIRE,-8010791,-34952445,52071560,PROFESSOR CLAUDIO SELVA,DOIS IRMAOS,32324110.0,
22,26120810,ESCOLA MUNICIPAL HUGO GERDAU,-8069673,-34936414,50761190,CORONEL MIZAEL DE MENDONCA,SAN MARTIN,32327508.0,
23,26119196,ESCOLA MUNICIPAL TRES CARNEIROS,-8125531,-34959914,51330190,IBIRAJA,COHAB,32323122.0,
24,26124700,ESCOLA MUNICIPAL MARGARIDA SERPA COSSART,-8119865,-34955853,51340610,MECEJANA,COHAB,32323123.0,
25,26125706,ESCOLA MUNICIPAL MUNDO ESPERANCA,-8014119,-34956594,52171050,DOS PINTOS,SITIO DOS PINTOS,32324136.0,
26,26120607,ESCOLA MUNICIPAL ENGENHEIRO GUILHERME DINIZ,-8136503,-34955484,51230432,TEREZA MARGARIDA,COHAB,32323102.0,
27,26123487,ESCOLA MUNICIPAL DOM BOSCO,-8079273,-34948401,50790200,ALVENOPOLIS,JARDIM SAO PAULO,32322500.0,
28,26121158,ESCOLA MUNICIPAL VILA SESAMO,-813369,-34950119,51300000,VALE DO CARIRI,COHAB,32323126.0,
29,26124688,ESCOLA MUNICIPAL MARIA ADELAIDE DE BARROS,-8138902,-34953283,51310090,ALTO DO HERVAL NOVO,COHAB,32323113.0,
30,26125552,ESCOLA MUNICIPAL PROFESSOR ADAUTO PONTES,-813543,-34944751,51260390,SERTANIA,JORDAO,32323600.0,
31,26120704,ESCOLA MUNICIPAL DO JORDAO,-8139009,-34928866,51250100,SILVA JARDIM,JORDAO,32323500.0,
32,26119200,ESCOLA MUNICIPAL ZUMBI DOS PALMARES,-8040914,-3495183,50740180,ENGENHEIRO VASCONCELOS BITTENCOURT,VARZEA,32324748.0,NAEDVA.BURGOS@GMAIL.COM
33,26127008,ESCOLA MUNICIPAL CREUZA DE FREITAS CAVALCANTI,-8061351,-34935748,50640520,EPAMINONDAS CRISTOVAO OLIVEIRA,TORROES,32327512.0,
34,26119170,ESCOLA MUNICIPAL SENADOR JOSE ERMIRIO DE MORAES,-8036,-3497943,50960120,RORAIMA,VARZEA,32324800.0,
35,26127024,ESCOLA MUNICIPAL CELIA ARRAES,-8039271,-34958854,50810360,JOSE NOYA,VARZEA,32324701.0,
36,26120763,ESCOLA MUNICIPAL MAGALHAES BASTOS,-8046792,-34957051,51741230,FRANCISCO LACERDA,VARZEA,32324710.0,
37,26127377,ESCOLA MUNICIPAL ENGENHO DO MEIO,-8050242,-34939653,50670260,BOM PASTOR,CORDEIRO,32324732.0,EMEM.DIRECAO@GMAIL.COM
38,26126826,ESCOLA MUNICIPAL MANOEL ANTONIO DE FREITAS,-8017568,-34909171,50742010,SAO JERONIMO,ALTO SANTA TEREZINHA,32324130.0,
39,26128772,ESCOLA MUNICIPAL ANTONIO TIBURCIO,-8018167,-34905217,52211000,TAMBOARA,ALTO SANTA TEREZINHA,32327815.0,
40,26120720,ESCOLA MUNICIPAL DRAOMIRO CHAVES AGUIAR,-8025352,-34925363,52070240,SANTA ISABEL,CASA AMARELA,32324107.0,
