Unnamed: 0,nome_academia,endereco,bairro,latitude,longitude
0,Academia da Cidade Polo ESEF,"AV GOVERNADOR AGAMENON MAGALHAES, S/N - SANTO AMARO",SANTO AMARO,-804.558.568.623,-348.863.634.317
1,US 356 Academia da Cidade Polo Ilha do Leite,PRACA MIGUEL DE CERVANTES - ILHA DO LEITE,ILHA DO LEITE,-806.680.147.603,-348.935.535.599
2,US 357 Academia da Cidade Polo Coque,"AV MARTIN LUTHER KING, S/N - ILHA JOANA BEZERRA",ILHA JOANA BEZERRA,-806.951.728.716,-348.970.170.004
3,US 358 Academia da Cidade Polo Santo Amaro,"AV AGAMENON MAGALHAES , S/N - SANTO AMARO",SANTO AMARO,-804.438.595.882,-348.879.910.385
4,US 374 Academia da Cidade Polo 13 de Maio,PRACA 13 DE MAIO - SANTO AMARO,SANTO AMARO,-805.665.819.351,-348.801.983.462
5,US 353 Academia da Cidade Polo Ilha de Joaneiro,AV AGAMENON MAGALHAES  - TORREAO,TORREAO,-804.139.040.801,-348.833.405.866
6,US 354 Academia da Cidade Polo Alto do Capitão,"RUA TUPIRACABA, S/N1  - DOIS UNIDOS",DOIS UNIDOS,-799.964.346.254,-349.137.745.743
7,US 355 Academia da Cidade Polo Hipodrómo,PRACA DO HIPODROMO - HIPODROMO,HIPODROMO,-803.222.202.174,-348.860.192
8,US 377 Academia da Cidade Polo Chié,AV AGAMENON MAGALHAES - CAMPO GRANDE,CAMPO GRANDE,-80.381.328.724,-348.763.877.054
9,US 390 Academia da Cidade Polo CSU Afrânio Godoy,"AV ANIBAL BENEVOLO, S/N - LINHA DO TIRO",LINHA DO TIRO,-801.028.336.706,-349.032.775.387
10,US 391 Academia da Cidade Polo Chão de Estrelas,RUA MARCILIO DIAS - CAMPINA DO BARRETO,CAMPINA DO BARRETO,-802.062.260.162,-348.796.835.915
11,US 392 Academia da Cidade Polo Jovem Cap,RUA CORONEL URBANO RIBEIRO DE SOUZA S/N - CAMPINA DE BARRETO,CAMPINA DO BARRETO,-80.143.528.173,-348.832.520.436
12,Academia da Cidade Polo Ermírio de Moraes,"AV 17 DE AGOSTO, 2388 - CASA FORTE",CASA FORTE,-802.878.769.998,-349.252.285.074
13,US 359 Academia da Cidade Polo Sítio da Trindade,"ESTRADA DO ARRAIAL, S/N - CASA AMARELA",CASA AMARELA,-802.887.968.856,-349.121.723.101
14,US 360 Academia da Cidade Polo Morro da Conceição,"PRACA DO MORRO DA CONCEICAO, 589 - MORRO DA CONCEICAO",MORRO DA CONCEICAO,-801.947.724.447,-349.143.462.951
15,US 361 Academia da Cidade Polo Jaqueira,"RUA DO FUTURO, S/N - JAQUEIRA",JAQUEIRA,-803.652.441.201,-349.046.906.264
16,US 380 Academia da Cidade Polo Buriti,"AVENIDA NORTE, S/N - MACAXEIRA",MACAXEIRA,-801.674.267.147,-34.929.314.827
17,US 387 Academia da Cidade Polo Vila Um Por Todos,"RUA VASCO DA GAMA, S/N - VASCO DA GAMA",VASCO DA GAMA,-801.016.767.506,-34.922.468.621
18,US 389 Academia da Cidade Polo Parque Santana,"RUA SANTANA, S/N - SANTANA",SANTANA,-804.194.230.138,-34.918.012.762
