,nome,endereco,latitude,longitude
0,ACAD UR5,"R. Padre Manuel Ribeiro da Rocha, 81 - Lagoa Encantada, Recife - PE, 51300-420, Brazil",-8.13229801512888,-34.9487064475109
1,ACADEMIA CIDADE BARRO-01,"R. Padre Diogo Rodrigues, 531a - Barro, Recife - PE, 50900-110, Brazil",-8.08978290659485,-34.9402937734856
2,ACADEMIA CIDADE MADALENA-01,"Av. Beira Rio, 865 - Madalena, Recife - PE, 50610-100, Brazil",-8.0465098118939,-34.9040884790076
3,ACADEMIA CIDADE SAN MARTIN-01,"Av. Gen. San Martin, S/N - San Martin, Recife - PE, 50761-000, Brazil",-8.06693000365817,-34.9274064299941
4,ARRAIAL BOM JESUS-01,"R. Dezesseis de Outubro, 820 - Cordeiro, Recife - PE, 50640-021, Brazil",-8.05723432338562,-34.9312732357951
5,ASSEMBLEIA DEUS MINISTERIO GUARA-01,"Av. Chapada do Araripe, 43 - COHAB, Recife - PE, 54280-820, Brazil",-8.11983519870557,-34.9601405549357
6,AV ALFREDO LISBOA-01,"R. da Moeda, nº46 - Recife, PE, 50030-040, Brazil",-8.06447496945702,-34.8720588907599
7,AV GUARARAPES CORREIOS-01,"Av. Guararapes, 1 - Santo Antônio, Recife - PE, 50060-001, Brazil",-8.06265117430159,-34.8803188970346
8,AV MARQUES DE OLINDA-01,"Av. Marquês de Olinda, 11 - Recife, PE, 50030-000, Brazil",-8.06326762722778,-34.871644154191
9,AV RIO BRANCO-01,"Av. Rio Branco, 126 - Recife, PE, 50030-900, Brazil",-8.06268036279988,-34.8725317935405
10,AV RIO BRANCO-02,"Av. Rio Branco, 126 - Recife, PE, 50030-900, Brazil",-8.06268036279988,-34.8725317935406
11,AV RIO BRANCO-03,"Av. Rio Branco, 126 - Recife, PE, 50030-900, Brazil",-8.06268036279988,-34.8725317935408
12,AV RIO BRANCO-04,"R. do Bom Jesus, 20 - Recife, PE, 50030-170, Brazil",-8.06292467917682,-34.8717003126898
13,BLOCO GALINHA NA VARA-01,"Tv. des Pedro Ribeiro Malta, 240 - Barro, Recife - PE, 51275-000, Brazil",-8.10776565487944,-34.9496541986468
14,BOMBA DO HEMETERIO,"R. Bomba do Hemetério, 403 - Bomba do Hemetério, Recife - PE, 52111-070, Brazil",-8.02199761925098,-34.9001748220899
15,CALCADA DO NAUTICO,"Avenida Cons, o - Av. Conselheiro Rosa e Silva, 1086 - Aflitos, Recife - PE, 52050-340, Brazil",-8.0415766,-34.8975023
16,CAMPO DE SALINAS-01,"R. Sen. Thomaz Lobo, 5218 - Areias, Recife - PE, 50860-390, Brazil",-8.09539631015151,-34.9231207351573
17,CAMPO DO 11-01,"R. Guaraí, 137 - Santo Amaro, Recife - PE, 50110-045, Brazil",-8.04164199976146,-34.879012784855
18,CAMPO DO 11-02,"R. Guaraí, 67 - Santo Amaro, Recife - PE, 50110-045, Brazil",-8.04154904556488,-34.8789383535543
19,CEMITERIO CASA AMARELA -01,"Largo de Casa Amarela, 10 - Casa Amarela, Recife - PE, 52070-340, Brazil",-8.02566260915291,-34.9183863401413
20,CEMITERIO PQ DAS FLORES-01,"Av. Liberdade, 1284-1314 - Sancho, Recife - PE, Brasil - Curado, Recife - PE, 50920-683, Brazil",-8.08168576023712,-34.9611675739288
21,CEMITERIO STO AMARO-01,"R. do Pombal, 297 - Santo Amaro, Recife - PE, 50100-170, Brazil",-8.05060907273065,-34.8841881752014
22,CEMITERIO STO AMARO-02,"R. do Pombal, 297 - Santo Amaro, Recife - PE, 50100-170, Brazil",-8.05060907273065,-34.8841881752014
