,ID,ANO,MÊS,TIPO DE ENSINO,SERVIÇO,CADUM,LOTE,VALOR UNITÁRIO,QUANTIDADE,VALOR TOTAL,QUANTIDADE_60,QUANTIDADE_40,VALOR_60,VALOR_40
0,1,2023,12,FUNDAMENTAL,LANCHE I (Manhã),33077,1,4.11,145460,597840.6,87276.0,58184.0,358704.36,239136.24
1,2,2023,12,FUNDAMENTAL,LANCHE I (Tarde),33077,1,4.11,146680,602854.8,88008.0,58672.0,361712.88,241141.92
2,3,2023,12,FUNDAMENTAL,LANCHE II (Manhã),33078,1,4.13,22615,93399.95,13569.0,9046.0,56039.97,37359.98
3,4,2023,12,FUNDAMENTAL,LANCHE II (Tarde),33078,1,4.13,22363,92359.19,13417.8,8945.2,55415.51,36943.68
4,5,2023,12,FUNDAMENTAL,LANCHE II (Manhã/não-PNAE),33078,1,4.13,3742,15454.46,2245.2,1496.8,9272.68,6181.78
5,6,2023,12,FUNDAMENTAL,LANCHE II (Tarde/não-PNAE),33078,1,4.13,2637,10890.81,1582.2,1054.8,6534.49,4356.32
6,7,2023,12,FUNDAMENTAL,LANCHE IV (Noite/não-PNAE) ,33080,1,4.77,1700,8109.0,1020.0,680.0,4865.4,3243.6
7,8,2023,12,FUNDAMENTAL,LANCHE II (Noite II/não-PNAE) ,33078,1,4.13,570,2354.1,342.0,228.0,1412.46,941.64
8,9,2023,12,EJA,LANCHE IV (Noite) ,33080,1,4.77,21653,103284.81,12991.8,8661.2,61970.89,41313.92
9,10,2023,12,ESCOLA INTEGRAL,LANCHE II (M),33078,1,4.13,2092,8639.96,1255.2,836.8,5183.98,3455.98
10,11,2023,12,ESCOLA INTEGRAL,LANCHE II (T),33078,1,4.13,2052,8474.76,1231.2,820.8,5084.86,3389.9
11,12,2023,12,ESCOLA INTEGRAL,LANCHE IV (M),33080,1,4.77,29531,140862.87,17718.6,11812.4,84517.72,56345.15
12,13,2023,12,ESCOLA INTEGRAL,LANCHE IV (T),33080,1,4.77,28967,138172.59,17380.2,11586.8,82903.55,55269.04
13,14,2023,12,ESCOLA INTEGRAL,LANCHE V (Almoço) ,33081,1,5.18,34868,180616.24,20920.8,13947.2,108369.74,72246.5
14,15,2023,12,CRECHES,LANCHE VII (Café da Manhã),33094,1,4.06,8115,32946.9,4869.0,3246.0,19768.14,13178.76
15,16,2023,12,CRECHES,LANCHE VIII (Lanche Manhã),33095,1,4.1,9165,37576.5,5499.0,3666.0,22545.9,15030.6
16,17,2023,12,CRECHES,LANCHE IX (Almoço),33096,1,4.88,9165,44725.2,5499.0,3666.0,26835.12,17890.08
17,18,2023,12,CRECHES,LANCHE VIII (Lanche Tarde),33095,1,4.1,9255,37945.5,5553.0,3702.0,22767.3,15178.2
18,19,2023,12,CRECHES,LANCHE X (Jantar),33097,1,4.29,9255,39703.95,5553.0,3702.0,23822.37,15881.58
19,20,2023,12,CRECHES,LANCHE XI (Berçário),33098,1,4.91,240,1178.4,144.0,96.0,707.04,471.36
20,21,2023,11,FUNDAMENTAL,LANCHE I (Manhã),33077,1,4.11,200540,824219.4,120324.0,80216.0,494531.64,329687.76
21,22,2023,11,FUNDAMENTAL,LANCHE I (Tarde),33077,1,4.11,202153,830848.83,121292.0,80861.0,498509.3,332339.53
22,23,2023,11,FUNDAMENTAL,LANCHE II (Manhã),33078,1,4.13,29394,121397.22,17636.0,11758.0,72838.33,48558.89
23,24,2023,11,FUNDAMENTAL,LANCHE II (Tarde),33078,1,4.13,29773,122962.49,17864.0,11909.0,73777.49,49185.0
24,25,2023,11,FUNDAMENTAL,LANCHE II (Manhã/não-PNAE),33078,1,4.13,6166,25465.58,3700.0,2466.0,15279.35,10186.23
25,26,2023,11,FUNDAMENTAL,LANCHE II (Tarde/não-PNAE),33078,1,4.13,4646,19187.98,2788.0,1858.0,11512.79,7675.19
26,27,2023,11,FUNDAMENTAL,LANCHE IV (Noite/não-PNAE) ,33080,1,4.77,4100,19557.0,2460.0,1640.0,11734.2,7822.8
27,28,2023,11,FUNDAMENTAL,LANCHE II (Noite II/não-PNAE) ,33078,1,4.13,960,3964.8,576.0,384.0,2378.88,1585.92
28,29,2023,11,EJA,LANCHE IV (Noite) ,33080,1,4.77,29290,139713.3,17574.0,11716.0,83827.98,55885.32
29,30,2023,11,ESCOLA INTEGRAL,LANCHE II (M),33078,1,4.13,3059,12633.67,1835.0,1224.0,7580.2,5053.47
30,31,2023,11,ESCOLA INTEGRAL,LANCHE II (T),33078,1,4.13,3059,12633.67,1835.0,1224.0,7580.2,5053.47
31,32,2023,11,ESCOLA INTEGRAL,LANCHE IV (M),33080,1,4.77,43138,205768.26,25883.0,17255.0,123460.96,82307.3
